AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,SALE_COND,PARKING_FACIL,PRICE
Avadi,750,378,1,1,Normal Sale,Yes,2800000
T Nagar,1692,38,4,3,Normal Sale,Yes,15900000
Anna Nagar,1848,141,4,4,Normal Sale,Yes,17800000
Chetpet,1134,240,2,1,Normal Sale,NO,8700000
Avadi,745,25,1,2,Normal Sale,Yes,2900000
Chetpet,1606,47,4,3,Normal Sale,Yes,14300000
Chromepet,994,461,2,2,Normal Sale,Yes,5500000
Chetpet,1460,23,4,2,Normal Sale,Yes,13000000
Besant Nagar,1630,839,3,4,Normal Sale,Yes,12500000
Avadi,896,137,1,1,Normal Sale,Yes,3300000
Adyar,1869,19,3,2,Normal Sale,Yes,17500000
Velacherry,1313,25,2,1,Normal Sale,Yes,8700000
Tambaram,796,312,1,2,Partial,Yes,3200000
Perambur,941,310,1,1,Normal Sale,Yes,4400000
Thiruvanmiyur,1291,595,2,1,Normal Sale,Yes,8800000
Avadi,621,85,1,2,Normal Sale,NO,2300000
OMR,1162,134,2,2,Abnormal,Yes,6300000
Anna Nagar,1754,79,3,2,Normal Sale,Yes,15400000
OMR,975,62,1,1,Normal Sale,Yes,5700000
Perambur,988,129,2,2,Normal Sale,Yes,5000000
Tambaram,792,9,2,1,Normal Sale,Yes,3700000
Anna Nagar,1601,251,4,3,Normal Sale,Yes,14700000
T Nagar,1561,69,4,3,Partial,Yes,13900000
Kodambakkam,1056,400,3,1,Normal Sale,Yes,8200000
T Nagar,1601,64,3,4,Normal Sale,Yes,15700000
Anna Nagar,1726,281,3,3,Partial,Yes,14500000
Avadi,893,202,2,2,Normal Sale,Yes,3900000
Porur,1168,535,2,2,Normal Sale,Yes,6900000
Anna Nagar,1663,44,3,3,Abnormal,Yes,13800000
Besant Nagar,1377,43,3,1,Normal Sale,Yes,11600000
Anna Nagar,1799,49,3,2,Normal Sale,Yes,15900000
Kodambakkam,1098,24,3,2,Normal Sale,Yes,9100000
Guindy,1436,142,3,2,Normal Sale,Yes,11200000
Kodambakkam,1145,82,2,2,Normal Sale,Yes,8700000
Egmore,1217,3,2,1,Abnormal,Yes,7700000
Anna Nagar,1942,19,3,4,Normal Sale,Yes,16800000
Chromepet,1070,211,3,1,Normal Sale,Yes,6000000
Chromepet,1096,524,2,2,Partial,Yes,5200000
Chromepet,1111,504,2,2,Abnormal,Yes,5300000
Anna Nagar,1902,18,3,4,Normal Sale,Yes,16000000
Velacherry,1224,9,2,2,Normal Sale,Yes,8100000
Thiruvanmiyur,1168,9,3,1,Partial,Yes,8800000
Nungambakkam,1391,461,2,1,Normal Sale,Yes,10800000
Kodambakkam,1220,930,2,2,Normal Sale,Yes,7600000
Porur,1331,14,3,2,Abnormal,Yes,6800000
Adyar,1571,681,4,4,Normal Sale,Yes,14300000
Tambaram,826,354,1,1,Normal Sale,Yes,3300000
Egmore,1064,971,3,2,Normal Sale,Yes,7500000
T Nagar,1554,127,4,4,Normal Sale,Yes,14000000
Saidapet,937,174,2,2,Abnormal,Yes,4700000
Velacherry,1210,704,3,1,Normal Sale,Yes,7900000
Saidapet,1049,429,3,2,Normal Sale,NO,6400000
Guindy,1218,9,3,2,Normal Sale,Yes,9900000
Chromepet,897,5,2,2,Partial,Yes,4800000
Guindy,1367,198,2,1,Normal Sale,Yes,10700000
T Nagar,1585,116,4,2,Partial,Yes,13700000
Guindy,1170,118,2,2,Normal Sale,Yes,8600000
Saidapet,1202,123,3,1,Normal Sale,NO,7700000
Egmore,1220,169,3,1,Normal Sale,Yes,9000000
T Nagar,1964,730,3,3,Partial,Yes,16600000
Egmore,946,546,2,1,Normal Sale,Yes,6400000
Nungambakkam,1718,504,4,3,Partial,Yes,14800000
Velacherry,1373,735,3,2,Family,Yes,7400000
Nungambakkam,1314,204,2,2,Normal Sale,NO,10600000
Guindy,1516,337,3,2,Partial,NO,10900000
Thiruvanmiyur,1031,21,3,2,Normal Sale,Yes,9000000
Guindy,1333,19,3,1,Normal Sale,NO,10700000
Egmore,1251,87,2,2,Family,Yes,7800000
Mylapore,1481,241,4,3,Normal Sale,Yes,13500000
Porur,1226,916,2,1,Family,Yes,5600000
Guindy,1165,604,3,1,Partial,NO,8100000
Velacherry,1273,21,2,1,Abnormal,Yes,7000000
Anna Nagar,1868,118,3,4,Partial,Yes,15700000
Anna Nagar,1797,158,4,4,Normal Sale,Yes,18400000
Thiruvanmiyur,1493,610,4,3,Normal Sale,Yes,12000000
Egmore,1282,57,3,2,Normal Sale,Yes,10100000
Adyar,1408,30,4,4,Normal Sale,Yes,13900000
Nungambakkam,1629,423,3,2,Family,Yes,13000000
Chetpet,1680,254,4,3,Partial,NO,12700000
Velacherry,1141,253,3,2,Normal Sale,Yes,7900000
Anna Nagar,1702,243,4,3,Abnormal,NO,14100000
Chromepet,1210,366,3,1,Normal Sale,Yes,6900000
Mylapore,1190,192,2,2,Normal Sale,Yes,10100000
T Nagar,1764,50,3,4,Normal Sale,NO,15800000
Besant Nagar,1186,431,3,1,Normal Sale,Yes,10100000
Porur,1165,154,3,2,Normal Sale,Yes,7600000
Perambur,945,291,2,1,Normal Sale,Yes,4200000
T Nagar,1437,410,3,4,Partial,Yes,11400000
Egmore,1030,155,3,1,Partial,Yes,7200000
Chetpet,1675,465,4,3,Partial,Yes,13000000
Saidapet,994,118,1,2,Normal Sale,Yes,5700000
Nungambakkam,1237,66,3,1,Normal Sale,Yes,11700000
Besant Nagar,1359,220,2,2,Partial,Yes,9600000
OMR,1262,574,2,1,Normal Sale,Yes,7600000
Anna Nagar,1758,475,4,4,Normal Sale,NO,16500000
Tambaram,672,185,1,2,Normal Sale,NO,2800000
Mylapore,1540,74,3,3,Normal Sale,Yes,14000000
Adyar,1751,161,4,3,Partial,Yes,16200000
Anna Nagar,1843,307,4,4,Partial,Yes,17200000
Guindy,1556,190,4,2,Normal Sale,Yes,12600000
Nungambakkam,1512,22,3,4,Normal Sale,Yes,14000000
OMR,1237,132,3,2,Normal Sale,NO,8900000
Egmore,1176,652,2,2,Partial,Yes,7300000
Porur,938,56,1,1,Normal Sale,Yes,5200000
T Nagar,1747,287,4,4,Normal Sale,Yes,17100000
Anna Nagar,1458,344,3,4,Normal Sale,Yes,12600000
Egmore,918,101,2,1,Partial,Yes,6100000
Anna Nagar,2086,190,4,2,Abnormal,Yes,16600000
Porur,1035,57,3,1,Partial,Yes,5700000
Guindy,1358,29,3,1,Partial,Yes,10800000
Porur,765,369,2,2,Normal Sale,Yes,4500000
Porur,1049,438,3,2,Family,Yes,5600000
Egmore,1360,37,3,2,Normal Sale,Yes,10200000
Nungambakkam,1438,208,4,4,Normal Sale,NO,12700000
Perambur,1125,680,3,1,Abnormal,Yes,5200000
Egmore,1175,51,3,1,Partial,Yes,7700000
Chetpet,1352,102,2,1,Partial,Yes,9500000
Mylapore,1477,640,3,2,Normal Sale,Yes,12700000
Nungambakkam,1365,215,2,1,Normal Sale,Yes,12000000
Mylapore,1553,250,3,2,Normal Sale,Yes,14700000
Thiruvanmiyur,1423,191,4,2,Normal Sale,Yes,12000000
Saidapet,1122,58,2,1,Abnormal,Yes,5700000
Kodambakkam,1053,373,3,1,Normal Sale,Yes,7700000
OMR,1417,362,3,4,Normal Sale,Yes,10100000
Chromepet,1149,131,3,1,Normal Sale,Yes,7000000
Anna Nagar,1534,200,3,2,Normal Sale,Yes,13900000
Chetpet,1608,203,4,3,Partial,NO,12700000
Egmore,1275,443,2,2,Normal Sale,Yes,8100000
Kodambakkam,1181,332,2,2,Partial,Yes,7700000
Besant Nagar,1264,557,3,1,Partial,Yes,9500000
Nungambakkam,1314,371,2,2,Normal Sale,NO,11200000
Nungambakkam,1582,37,4,4,Abnormal,Yes,14000000
Thiruvanmiyur,1576,338,3,3,Normal Sale,Yes,12700000
Egmore,846,1000,1,1,Normal Sale,Yes,4500000
Besant Nagar,1511,172,4,3,Normal Sale,Yes,14600000
Chromepet,1065,37,2,2,Normal Sale,Yes,5700000
